frame_idx,duck_id,x,y
0,0,-0.8670956149697303,-1.5892174780368804
0,1,-0.9329693794250488,-1.4876928493380546
0,2,-0.9910859495401382,-1.5962631493806838
0,3,-0.8961709842085838,-1.3826543163508176
0,4,-0.9488765329122543,-1.4593956634402274
0,5,-1.006887051463127,-1.6209336757659911
0,6,-1.0418694794178007,-1.6777852118015288
1,0,-0.8687647312879562,-1.5930265575647353
1,1,-0.9345435231924056,-1.4864351615309714
1,2,-0.9926373690366744,-1.596986585855484
1,3,-0.8976877659559249,-1.3792450070381164
1,4,-0.9502295732498168,-1.4571191385388373
1,5,-1.0083983123302458,-1.6220252454280852
1,6,-1.043279993534088,-1.6797244489192962
2,0,-0.8651503652334213,-1.5863401532173156
2,1,-0.9306099593639373,-1.4855652168393134
2,2,-0.9888944059610366,-1.592883476614952
2,3,-0.8942759215831756,-1.3828585796058177
2,4,-0.9465566754341125,-1.4572800114750861
2,5,-1.00491324365139,-1.6175181359052657
2,6,-1.0406295686960219,-1.674693578481674
3,0,-0.8636011585593223,-1.5834605187177657
3,1,-0.9292956173419952,-1.4852541625499724
3,2,-0.9882277280092239,-1.5902803629636764
3,3,-0.8924389958381652,-1.3846743186935782
3,4,-0.9453160494565963,-1.4576411224901675
3,5,-1.0044057101011274,-1.614381381869316
3,6,-1.0404655367136,-1.6702904045581817
4,0,-0.8578678660094737,-1.575410747528076
4,1,-0.9234983503818511,-1.4756207183003425
4,2,-0.9812588274478912,-1.5821077913045882
4,3,-0.8876031294465064,-1.3737093225121497
4,4,-0.9395040601491927,-1.4476001240313052
4,5,-0.9971479207277297,-1.6065515369176864
4,6,-1.0325628399848936,-1.663274848461151
5,0,-0.8575775019824504,-1.569456511735916
5,1,-0.923207002878189,-1.4712439939379691
5,2,-0.9790924966335296,-1.5760472804307937
5,3,-0.8893267020583152,-1.3727113861590623
5,4,-0.9389501392841338,-1.444154442846775
5,5,-0.9946248561143874,-1.6003378719091415
5,6,-1.0294440269470213,-1.6570339739322661
6,0,-0.8549374110996723,-1.5726216226816176
6,1,-0.9191603019833564,-1.474966698884964
6,2,-0.9739672124385833,-1.5809829473495483
6,3,-0.8856160894036292,-1.3746602848172187
6,4,-0.9346613317728042,-1.4478277318179607
6,5,-0.9891245394945144,-1.6054552435874938
6,6,-1.02297927737236,-1.6623566091060638
7,0,-0.851787607371807,-1.5623325645923614
7,1,-0.917926612496376,-1.467239113152027
7,2,-0.9756742447614669,-1.5686681061983108
7,3,-0.8815986096858978,-1.3695248547941445
7,4,-0.9338146924972534,-1.4408865660429
7,5,-0.9914139837026595,-1.5917632967233657
7,6,-1.0263054102659224,-1.6450572848320006
8,0,-0.850629049539566,-1.5681452840566634
8,1,-0.9170543283224105,-1.4660384818911552
8,2,-0.9709104776382446,-1.5763080656528472
8,3,-0.8841776207089423,-1.3607926160097121
8,4,-0.9330113112926482,-1.4378549508750438
8,5,-0.9857495158910751,-1.60155830681324
8,6,-1.0186949104070662,-1.6599738538265227
9,0,-0.8509965047240257,-1.572511726617813
9,1,-0.9173163130879401,-1.4713666975498199
9,2,-0.9758749186992645,-1.583649107813835
9,3,-0.881824354827404,-1.3672092460095882
9,4,-0.9332621276378631,-1.443286956846714
9,5,-0.9922114938497543,-1.6099327594041823
9,6,-1.0290185689926146,-1.671502375602722
10,0,-0.8473441369831561,-1.5787101179361342
10,1,-0.9118397414684295,-1.4753312408924102
10,2,-0.964640799164772,-1.5863370239734649
10,3,-0.878807272017002,-1.3671846963465213
10,4,-0.9274558156728744,-1.446550054103136
10,5,-0.9790048480033874,-1.6114160060882567
10,6,-1.0106339931488035,-1.6689745128154754
11,0,-0.8320726819336414,-1.5622593700885772
11,1,-0.9002765893936157,-1.4632921829819678
11,2,-0.9553538739681243,-1.5723574846982955
11,3,-0.8668099448084831,-1.3589550867676734
11,4,-0.9170610040426254,-1.4353430993854999
11,5,-0.9705926656723022,-1.5973943263292312
11,6,-1.0044389843940733,-1.6553547024726867
12,0,-0.8291510932147502,-1.5581076085567473
12,1,-0.8976356342434882,-1.4606407038867473
12,2,-0.9535208076238632,-1.5690831184387206
12,3,-0.8631903856992721,-1.3565465226769446
12,4,-0.9142964139580726,-1.4333454683423041
12,5,-0.9688572019338607,-1.593853050470352
12,6,-1.002798306941986,-1.6509541511535644
13,0,-0.825751432403922,-1.5512646079063415
13,1,-0.8940462127327918,-1.4555898658931254
13,2,-0.9463334709405898,-1.5625351160764693
13,3,-0.8627597048878669,-1.3539184756577014
13,4,-0.9106040105223655,-1.4289787016808986
13,5,-0.9608350425958633,-1.5871002167463302
13,6,-0.992996472120285,-1.6439041882753371
14,0,-0.8187118276953697,-1.544838199019432
14,1,-0.8899698138236999,-1.4504146181046962
14,2,-0.9465625166893005,-1.55641450881958
14,3,-0.8564157702028751,-1.3516992643475532
14,4,-0.9070504933595657,-1.4243945121765136
14,5,-0.9623893827199935,-1.5810952126979827
14,6,-0.9978255808353423,-1.6386432588100432
15,0,-0.8145439393818378,-1.540730857849121
15,1,-0.8829436555504798,-1.4447767600417136
15,2,-0.9339220702648162,-1.5530701518058776
15,3,-0.8525022186338901,-1.341015277057886
15,4,-0.8997160226106643,-1.4178187172859906
15,5,-0.9480481177568435,-1.5778418570756911
15,6,-0.9792565286159515,-1.6349427044391631
16,0,-0.8610921271145343,-1.485984505712986
